Link,Jugador,Equipo,Origen,Posicion Principal,Provincia,Competición
https://es.besoccer.com/jugador/german-112079,Germán Parreño,RC Deportivo,Elche/Elx,Portero,Alicante,1 RFEF Grupo 1
https://es.besoccer.com/jugador/e-puerto-915231,Eric Puerto,RC Deportivo,Barcelona,Portero,Barcelona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/a-sanchez-347401,Alberto Sánchez,RC Deportivo,Plasencia (Cáceres),Portero,Cáceres,1 RFEF Grupo 1
https://es.besoccer.com/jugador/pablo-vazquez-214031,Pablo Vázquez,RC Deportivo,Gandía (Valencia),Defensa central,Valencia,1 RFEF Grupo 1
https://es.besoccer.com/jugador/ximo-navarro-117393,Ximo Navarro,RC Deportivo,Guadahortuna (Granada),Lateral derecho,Granada,1 RFEF Grupo 1
https://es.besoccer.com/jugador/m-balenziaga-29964,M. Balenziaga,RC Deportivo,Zumárraga (Guipúzcoa),Lateral izquierdo,Guipúzcoa,1 RFEF Grupo 1
https://es.besoccer.com/jugador/paris-87878,Paris Adot,RC Deportivo,Pamplona (Navarra),Lateral derecho,Navarra,1 RFEF Grupo 1
https://es.besoccer.com/jugador/jaime-sanchez-139349,Jaime Sánchez,RC Deportivo,Chiclana de la Frontera (Cádiz),Defensa central,Cádiz,1 RFEF Grupo 1
https://es.besoccer.com/jugador/marotias-912952,Óscar Marotías,RC Deportivo,Santander (Cantabria),Defensa central,Cantabria,1 RFEF Grupo 1
https://es.besoccer.com/jugador/marc-948621,Lache,RC Deportivo,Barcelona,Lateral derecho,Barcelona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/angel-puerto-993218,Ángel Puerto,RC Deportivo,El Viso del Alcor (Sevilla),Defensa central,Sevilla,1 RFEF Grupo 1
https://es.besoccer.com/jugador/daniel-barcia-996556,Dani Barcia,RC Deportivo,"Coruña, A",Defensa central,A Coruña,1 RFEF Grupo 1
https://es.besoccer.com/jugador/villares-237837,Diego Villares,RC Deportivo,Villalba (Lugo),Mediocentro,Lugo,1 RFEF Grupo 1
https://es.besoccer.com/jugador/jose-angel-82130,José Ángel,RC Deportivo,Sevilla,Mediocentro defensivo,Sevilla,1 RFEF Grupo 1
https://es.besoccer.com/jugador/salva-sevilla-27182,Salva Sevilla,RC Deportivo,Berja (Almería),Mediocentro,Almería,1 RFEF Grupo 1
https://es.besoccer.com/jugador/hugo-rama-245497,Hugo Rama,RC Deportivo,Oroso (A Coruña),Mediocentro,A Coruña,1 RFEF Grupo 1
https://es.besoccer.com/jugador/jairo-996559,Jairo Noriega,RC Deportivo,"Coruña, A",Mediocentro,A Coruña,1 RFEF Grupo 1
https://es.besoccer.com/jugador/r-lopez-1021073,Rubén López,RC Deportivo,Silleda (Pontevedra),Mediocentro,Pontevedra,1 RFEF Grupo 1
https://es.besoccer.com/jugador/a-fernandez-860025,Barba,RC Deportivo,"Coruña, A",Mediapunta,A Coruña,1 RFEF Grupo 1
https://es.besoccer.com/jugador/lucas-100849,Lucas Pérez,RC Deportivo,"Coruña, A",Delantero,A Coruña,1 RFEF Grupo 1
https://es.besoccer.com/jugador/ivan-360944,Iván Barbero,RC Deportivo,Roquetas de Mar (Almería),Delantero,Almería,1 RFEF Grupo 1
https://es.besoccer.com/jugador/d-mella-919006,David Mella,RC Deportivo,Santiago de Compostela,Extremo izquierdo,A Coruña,1 RFEF Grupo 1
https://es.besoccer.com/jugador/david-alvarez-189989,Davo,RC Deportivo,Gijón,Extremo izquierdo,Asturias,1 RFEF Grupo 1
https://es.besoccer.com/jugador/peke-951513,Yeremay,RC Deportivo,"Las Palmas, Canarias",Extremo izquierdo,Las Palmas,1 RFEF Grupo 1
https://es.besoccer.com/jugador/raul-alcaina-372142,Raúl Alcaina,RC Deportivo,Museros (Valencia),Delantero,Valencia,1 RFEF Grupo 1
https://es.besoccer.com/jugador/k-sanchez-3138413,Kevin Sánchez,RC Deportivo,Burgos,Delantero,Burgos,1 RFEF Grupo 1
https://es.besoccer.com/jugador/pablo-valcarce-189346,Pablo Valcarce,RC Deportivo,Ponferrada (León),Extremo derecho,León,1 RFEF Grupo 1
https://es.besoccer.com/jugador/diego-gomez-perez-1018091,Diego Gómez,RC Deportivo,Amoeiro (Ourense),Extremo derecho,Orense,1 RFEF Grupo 1
https://es.besoccer.com/jugador/m-castillo-988355,Mati Castillo,RC Deportivo,Santander (Cantabria),Delantero,Cantabria,1 RFEF Grupo 1
https://es.besoccer.com/jugador/berto-187893,Berto Cayarga,RC Deportivo,Avilés,Extremo izquierdo,Asturias,1 RFEF Grupo 1
https://es.besoccer.com/jugador/luis-quintero-996763,Luis Quintero,RC Deportivo,Alicante/Alacant,Extremo izquierdo,Alicante,1 RFEF Grupo 1
https://es.besoccer.com/jugador/m-ochoa-1021048,Martín Ochoa,RC Deportivo,Logroño,Delantero,La Rioja,1 RFEF Grupo 1
https://es.besoccer.com/jugador/varo-189663,Alberto Varo,Gimnàstic Tarragona,Tarragona,Portero,Tarragona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/gerard-font-993169,Gerard Font,Gimnàstic Tarragona,Mataró (Barcelona),Portero,Barcelona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/parra-471368,Dani Parra,Gimnàstic Tarragona,Tarragona,Portero,Tarragona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/joan-oriol-29389,Joan Oriol,Gimnàstic Tarragona,"Cambrils, Tarragona",Lateral izquierdo,Tarragona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/p-trigueros-139840,P. Trigueros,Gimnàstic Tarragona, Herreruela de Oropesa (Toledo),Defensa central,Toledo,1 RFEF Grupo 1
https://es.besoccer.com/jugador/nacho-196693,Nacho González,Gimnàstic Tarragona,Sevilla,Defensa central,Sevilla,1 RFEF Grupo 1
https://es.besoccer.com/jugador/pol-domingo-596948,Pol Domingo,Gimnàstic Tarragona,La Pobla de Montornès,Lateral derecho,Tarragona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/dufur-733737,Unai Dufur,Gimnàstic Tarragona,Pamplona (Navarra),Defensa central,Navarra,1 RFEF Grupo 1
https://es.besoccer.com/jugador/a-tirlea-546823,Alex Tirlea,Gimnàstic Tarragona,Alcalá de Henares,Lateral derecho,Madrid,1 RFEF Grupo 1
https://es.besoccer.com/jugador/i-recio-879604,Iker Recio,Gimnàstic Tarragona,Talavera de la Reina,Defensa central,Toledo,1 RFEF Grupo 1
https://es.besoccer.com/jugador/borja-martinez-159803,B. Martínez,Gimnàstic Tarragona,Elche de la Sierra,Mediocentro,Albacete,1 RFEF Grupo 1
https://es.besoccer.com/jugador/o-sanz-753197,Óscar Sanz,Gimnàstic Tarragona,Sant Sadurní d'Anoia,Mediocentro defensivo,Barcelona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/m-montalvo-917146,M. Montalvo,Gimnàstic Tarragona,Riudoms (Tarragona),Mediocentro,Tarragona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/gorostidi-246562,A. Gorostidi,Gimnàstic Tarragona,Tolosa (Guipúzcoa),Mediocentro defensivo,Guipúzcoa,1 RFEF Grupo 1
https://es.besoccer.com/jugador/querol-950889,A. Querol,Gimnàstic Tarragona,Tarragona,Delantero,Tarragona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/t-pozo-1016218,Teo Pozo,Gimnàstic Tarragona,Roda de Berá,Extremo izquierdo,Barcelona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/pablo-239301,Pablo Fernández,Gimnàstic Tarragona,Candás (Asturias),Delantero,Asturias,1 RFEF Grupo 1
https://es.besoccer.com/jugador/j-jardi-776262,Jaume Jardí,Gimnàstic Tarragona,Reus (Tarragona),Extremo izquierdo,Tarragona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/marc-61811,Marc Fernández,Gimnàstic Tarragona,Corbera de Llobregat (Barcelona),Extremo izquierdo,Barcelona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/a-escudero-348799,Andy Escudero,Gimnàstic Tarragona,Alicante/Alacant,Extremo izquierdo,Alicante,1 RFEF Grupo 1
https://es.besoccer.com/jugador/alan-godoy-874751,Alan Godoy,Gimnàstic Tarragona,Las Palmas de Gran Canaria,Delantero,Las Palmas,1 RFEF Grupo 1
https://es.besoccer.com/jugador/mula-188811,Álex Mula,Gimnàstic Tarragona,Barcelona,Extremo izquierdo,Barcelona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/d-concha-201968,David Concha,Gimnàstic Tarragona,Santander,Extremo izquierdo,Cantabria,1 RFEF Grupo 1
https://es.besoccer.com/jugador/gorka-santamaria-185983,G. Santamaría,Gimnàstic Tarragona,Bilbao,Delantero,Vizcaya,1 RFEF Grupo 1
https://es.besoccer.com/jugador/mario-rodriguez-251054,Mario Rodríguez,Gimnàstic Tarragona,Barcelona,Delantero,Barcelona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/marc-alvarez-950885,Marc Álvarez,Gimnàstic Tarragona,Torrente (Valencia),Extremo izquierdo,Valencia,1 RFEF Grupo 1
https://es.besoccer.com/jugador/maurizio-427913,M. Pochettino,Gimnàstic Tarragona,Barcelona,Extremo derecho,Barcelona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/ander-902025,A. Astralaga,Barça Atlètic,Berango (Vizcaya),Portero,Vizcaya,1 RFEF Grupo 1
https://es.besoccer.com/jugador/marc-vicente-423661,Marc Vidal,Barça Atlètic,Villarreal,Portero,Castellón,1 RFEF Grupo 1
https://es.besoccer.com/jugador/aaron-alonso-918990,A. Alonso,Barça Atlètic,Puerto del Rosario (Fuerteventura),Portero,Toledo,1 RFEF Grupo 1
https://es.besoccer.com/jugador/p-cubarsi-3234352,Pau Cubarsí,Barça Atlètic,Estanyol (Girona),Defensa central,Gerona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/gerard-martin-950926,Gerard Martín,Barça Atlètic,Barcelona,Lateral izquierdo,Barcelona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/hector-fort-940495,Héctor Fort,Barça Atlètic,Barcelona,Lateral derecho,Barcelona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/p-fernandez-879132,Pelayo,Barça Atlètic,Avilés (Asturias),Defensa central,Asturias,1 RFEF Grupo 1
https://es.besoccer.com/jugador/a-navarro-3234344,A. Navarro,Barça Atlètic,Barcelona,Lateral izquierdo,Barcelona,1 RFEF Grupo 1
https://es.besoccer.com/jugador/s-dominguez-918992,Sergi Domínguez,Barça Atlètic,Barcelona,Defensa central,Barcelona,1 RFEF Grupo 1
